Date : 2023-03-30 22:16:44
Directory : e:\毕业设计相关\果帕雅微信小程序
Total : 296 files,  25332 codes, 3165 comments, 1899 blanks, all 30396 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         80 |     15,113 |      2,869 |      1,300 |     19,282 |
| CSS        |         64 |      3,959 |         96 |        179 |      4,234 |
| Less       |         22 |      2,626 |         25 |        142 |      2,793 |
| wxml       |         62 |      2,396 |        175 |        238 |      2,809 |
| JSON       |         68 |      1,238 |          0 |         40 |      1,278 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |        296 |     25,332 |      3,165 |      1,899 |     30,396 |
| . (Files)                                                                                      |         10 |      1,012 |         15 |         18 |      1,045 |
| common                                                                                         |          4 |      8,241 |      1,293 |        739 |     10,273 |
| components                                                                                     |         17 |        243 |         45 |         35 |        323 |
| components (Files)                                                                             |          5 |         93 |         10 |         10 |        113 |
| components\Tabs                                                                                |          4 |         52 |         13 |          8 |         73 |
| components\UpImg                                                                               |          4 |         40 |         10 |          9 |         59 |
| components\headerNav                                                                           |          4 |         58 |         12 |          8 |         78 |
| iconfont                                                                                       |          4 |        107 |         11 |         19 |        137 |
| lib                                                                                            |          3 |        514 |        129 |        121 |        764 |
| lib\css                                                                                        |          1 |         42 |          0 |         11 |         53 |
| lib\runtime                                                                                    |          2 |        472 |        129 |        110 |        711 |
| libs                                                                                           |          6 |        521 |         48 |         77 |        646 |
| libs\citySelector                                                                              |          6 |        521 |         48 |         77 |        646 |
| libs\citySelector (Files)                                                                      |          2 |         38 |          7 |         13 |         58 |
| libs\citySelector\switchcity                                                                   |          4 |        483 |         41 |         64 |        588 |
| miniprogram_npm                                                                                |         91 |        453 |         31 |         96 |        580 |
| miniprogram_npm\qqmap-wx-jssdk                                                                 |          1 |         12 |          2 |          0 |         14 |
| miniprogram_npm\weui-miniprogram                                                               |         90 |        441 |         29 |         96 |        566 |
| miniprogram_npm\weui-miniprogram (Files)                                                       |          4 |         28 |          4 |          6 |         38 |
| miniprogram_npm\weui-miniprogram\_commons                                                      |          2 |        224 |         21 |          0 |        245 |
| miniprogram_npm\weui-miniprogram\actionsheet                                                   |          4 |         18 |          0 |          4 |         22 |
| miniprogram_npm\weui-miniprogram\badge                                                         |          4 |          6 |          0 |          5 |         11 |
| miniprogram_npm\weui-miniprogram\cell                                                          |          4 |          9 |          0 |          4 |         13 |
| miniprogram_npm\weui-miniprogram\cells                                                         |          4 |          7 |          0 |          4 |         11 |
| miniprogram_npm\weui-miniprogram\checkbox                                                      |          4 |          9 |          0 |          5 |         14 |
| miniprogram_npm\weui-miniprogram\checkbox-group                                                |          4 |          8 |          0 |          5 |         13 |
| miniprogram_npm\weui-miniprogram\dialog                                                        |          4 |          7 |          0 |          4 |         11 |
| miniprogram_npm\weui-miniprogram\form                                                          |          3 |          6 |          0 |          2 |          8 |
| miniprogram_npm\weui-miniprogram\form-page                                                     |          4 |          6 |          0 |          5 |         11 |
| miniprogram_npm\weui-miniprogram\gallery                                                       |          4 |          7 |          0 |          4 |         11 |
| miniprogram_npm\weui-miniprogram\grids                                                         |          4 |          7 |          0 |          4 |         11 |
| miniprogram_npm\weui-miniprogram\half-screen-dialog                                            |          4 |          7 |          0 |          4 |         11 |
| miniprogram_npm\weui-miniprogram\icon                                                          |          4 |         18 |          0 |          4 |         22 |
| miniprogram_npm\weui-miniprogram\loading                                                       |          4 |          7 |          0 |          4 |         11 |
| miniprogram_npm\weui-miniprogram\msg                                                           |          4 |          7 |          0 |          4 |         11 |
| miniprogram_npm\weui-miniprogram\navigation-bar                                                |          4 |          7 |          0 |          4 |         11 |
| miniprogram_npm\weui-miniprogram\searchbar                                                     |          4 |         10 |          0 |          4 |         14 |
| miniprogram_npm\weui-miniprogram\slideview                                                     |          4 |          7 |          0 |          4 |         11 |
| miniprogram_npm\weui-miniprogram\tabbar                                                        |          4 |         19 |          0 |          4 |         23 |
| miniprogram_npm\weui-miniprogram\toptips                                                       |          4 |          7 |          0 |          4 |         11 |
| miniprogram_npm\weui-miniprogram\uploader                                                      |          4 |          8 |          0 |          5 |         13 |
| miniprogram_npm\weui-miniprogram\weui-wxss                                                     |          1 |          2 |          4 |          3 |          9 |
| miniprogram_npm\weui-miniprogram\weui-wxss\dist                                                |          1 |          2 |          4 |          3 |          9 |
| miniprogram_npm\weui-miniprogram\weui-wxss\dist\style                                          |          1 |          2 |          4 |          3 |          9 |
| pages                                                                                          |        155 |     13,189 |      1,384 |        698 |     15,271 |
| pages\aaaademo                                                                                 |          4 |        880 |         84 |         10 |        974 |
| pages\cart                                                                                     |          5 |      1,091 |        119 |         43 |      1,253 |
| pages\dianzan                                                                                  |          4 |        191 |          5 |         13 |        209 |
| pages\feedback                                                                                 |          5 |        427 |         36 |         25 |        488 |
| pages\fenxiang                                                                                 |          4 |        194 |          5 |         10 |        209 |
| pages\front_page                                                                               |          5 |      1,043 |         48 |         45 |      1,136 |
| pages\goods_detail                                                                             |         10 |        988 |         62 |         44 |      1,094 |
| pages\goods_detail (Files)                                                                     |          5 |        841 |         62 |         31 |        934 |
| pages\goods_detail\introduce                                                                   |          5 |        147 |          0 |         13 |        160 |
| pages\historySee                                                                               |          4 |        381 |         15 |         15 |        411 |
| pages\index                                                                                    |          2 |         21 |         29 |         19 |         69 |
| pages\login                                                                                    |          4 |        111 |         14 |          9 |        134 |
| pages\nation_treat                                                                             |         10 |        781 |         30 |         32 |        843 |
| pages\nation_treat (Files)                                                                     |          5 |        506 |         26 |         17 |        549 |
| pages\nation_treat1                                                                            |          5 |        190 |         26 |         11 |        227 |
| pages\nation_treat\show                                                                        |          5 |        275 |          4 |         15 |        294 |
| pages\news                                                                                     |          8 |        165 |          4 |         13 |        182 |
| pages\news (Files)                                                                             |          4 |         87 |          4 |          9 |        100 |
| pages\news\new_detail                                                                          |          4 |         78 |          0 |          4 |         82 |
| pages\p_video                                                                                  |          4 |        546 |        311 |         66 |        923 |
| pages\payDetail                                                                                |         15 |      1,009 |         29 |         56 |      1,094 |
| pages\payDetail (Files)                                                                        |          5 |        665 |         17 |         36 |        718 |
| pages\payDetail\addressChoose                                                                  |          5 |        198 |         11 |         10 |        219 |
| pages\payDetail\dingdan                                                                        |          5 |        146 |          1 |         10 |        157 |
| pages\search                                                                                   |          5 |        158 |         12 |          8 |        178 |
| pages\setup                                                                                    |         20 |      1,175 |         77 |         68 |      1,320 |
| pages\setup (Files)                                                                            |          5 |        221 |         12 |         15 |        248 |
| pages\setup\address                                                                            |          5 |        366 |         37 |         26 |        429 |
| pages\setup\addressEdit                                                                        |          5 |         21 |          1 |         13 |         35 |
| pages\setup\addressEdit1                                                                       |          5 |        567 |         27 |         14 |        608 |
| pages\shouchang                                                                                |          4 |        194 |          5 |         10 |        209 |
| pages\text                                                                                     |          5 |        198 |          2 |         24 |        224 |
| pages\text1                                                                                    |          5 |         48 |          1 |          8 |         57 |
| pages\text2                                                                                    |          4 |        545 |        311 |         66 |        922 |
| pages\text3                                                                                    |          5 |        261 |          9 |         16 |        286 |
| pages\user                                                                                     |          9 |      1,995 |         70 |         53 |      2,118 |
| pages\user (Files)                                                                             |          5 |      1,384 |         50 |         28 |      1,462 |
| pages\user\order                                                                               |          4 |        611 |         20 |         25 |        656 |
| pages\yangsheng                                                                                |          4 |        362 |         66 |         23 |        451 |
| pages\yangsheng1                                                                               |          5 |        235 |         14 |         11 |        260 |
| request                                                                                        |          1 |         14 |          1 |          4 |         19 |
| utils                                                                                          |          5 |      1,038 |        208 |         92 |      1,338 |
| utils (Files)                                                                                  |          3 |        163 |         31 |         20 |        214 |
| utils\qqmap-wx-jssdk1.2                                                                        |          2 |        875 |        177 |         72 |      1,124 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                       | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\毕业设计相关\果帕雅微信小程序\.eslintrc.js                                                                | JavaScript |         25 |          6 |          1 |         32 |
| e:\毕业设计相关\果帕雅微信小程序\app.js                                                                      | JavaScript |         24 |          6 |          2 |         32 |
| e:\毕业设计相关\果帕雅微信小程序\app.json                                                                    | JSON       |        103 |          0 |          8 |        111 |
| e:\毕业设计相关\果帕雅微信小程序\app.wxss                                                                    | CSS        |         16 |          3 |          4 |         23 |
| e:\毕业设计相关\果帕雅微信小程序\common\main.js                                                              | JavaScript |         87 |         28 |         30 |        145 |
| e:\毕业设计相关\果帕雅微信小程序\common\main.wxss                                                            | CSS        |          0 |          1 |         17 |         18 |
| e:\毕业设计相关\果帕雅微信小程序\common\runtime.js                                                           | JavaScript |        129 |         27 |          2 |        158 |
| e:\毕业设计相关\果帕雅微信小程序\common\vendor.js                                                            | JavaScript |      8,025 |      1,237 |        690 |      9,952 |
| e:\毕业设计相关\果帕雅微信小程序\components\Tabs\Tabs.js                                                     | JavaScript |         16 |         13 |          4 |         33 |
| e:\毕业设计相关\果帕雅微信小程序\components\Tabs\Tabs.json                                                   | JSON       |          4 |          0 |          0 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\components\Tabs\Tabs.wxml                                                   | wxml       |         16 |          0 |          3 |         19 |
| e:\毕业设计相关\果帕雅微信小程序\components\Tabs\Tabs.wxss                                                   | CSS        |         16 |          0 |          1 |         17 |
| e:\毕业设计相关\果帕雅微信小程序\components\UpImg\UpImg.js                                                   | JavaScript |         12 |         10 |          5 |         27 |
| e:\毕业设计相关\果帕雅微信小程序\components\UpImg\UpImg.json                                                 | JSON       |          4 |          0 |          0 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\components\UpImg\UpImg.wxml                                                 | wxml       |          9 |          0 |          4 |         13 |
| e:\毕业设计相关\果帕雅微信小程序\components\UpImg\UpImg.wxss                                                 | CSS        |         15 |          0 |          0 |         15 |
| e:\毕业设计相关\果帕雅微信小程序\components\find.js                                                          | JavaScript |          8 |         10 |          6 |         24 |
| e:\毕业设计相关\果帕雅微信小程序\components\find.json                                                        | JSON       |          4 |          0 |          0 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\components\find.less                                                        | Less       |         37 |          0 |          2 |         39 |
| e:\毕业设计相关\果帕雅微信小程序\components\find.wxml                                                        | wxml       |          7 |          0 |          1 |          8 |
| e:\毕业设计相关\果帕雅微信小程序\components\find.wxss                                                        | CSS        |         37 |          0 |          1 |         38 |
| e:\毕业设计相关\果帕雅微信小程序\components\headerNav\headerNav.js                                           | JavaScript |         24 |         10 |          3 |         37 |
| e:\毕业设计相关\果帕雅微信小程序\components\headerNav\headerNav.json                                         | JSON       |          4 |          0 |          0 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\components\headerNav\headerNav.wxml                                         | wxml       |          9 |          0 |          2 |         11 |
| e:\毕业设计相关\果帕雅微信小程序\components\headerNav\headerNav.wxss                                         | CSS        |         21 |          2 |          3 |         26 |
| e:\毕业设计相关\果帕雅微信小程序\iconfont.json                                                               | JSON       |          7 |          0 |          1 |          8 |
| e:\毕业设计相关\果帕雅微信小程序\iconfont\iconfont.js                                                        | JavaScript |         55 |          2 |          7 |         64 |
| e:\毕业设计相关\果帕雅微信小程序\iconfont\iconfont.json                                                      | JSON       |          4 |          0 |          1 |          5 |
| e:\毕业设计相关\果帕雅微信小程序\iconfont\iconfont.wxml                                                      | wxml       |         45 |          9 |         10 |         64 |
| e:\毕业设计相关\果帕雅微信小程序\iconfont\iconfont.wxss                                                      | CSS        |          3 |          0 |          1 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\lib\css\iconfont.wxss                                                       | CSS        |         42 |          0 |         11 |         53 |
| e:\毕业设计相关\果帕雅微信小程序\lib\runtime\dayjs.js                                                        | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\lib\runtime\runtime.js                                                      | JavaScript |        471 |        129 |        110 |        710 |
| e:\毕业设计相关\果帕雅微信小程序\libs\citySelector\city.js                                                   | JavaScript |         35 |          6 |         12 |         53 |
| e:\毕业设计相关\果帕雅微信小程序\libs\citySelector\config.default.js                                         | JavaScript |          3 |          1 |          1 |          5 |
| e:\毕业设计相关\果帕雅微信小程序\libs\citySelector\switchcity\switchcity.js                                  | JavaScript |        248 |         41 |         20 |        309 |
| e:\毕业设计相关\果帕雅微信小程序\libs\citySelector\switchcity\switchcity.json                                | JSON       |          3 |          0 |          1 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\libs\citySelector\switchcity\switchcity.wxml                                | wxml       |         76 |          0 |         17 |         93 |
| e:\毕业设计相关\果帕雅微信小程序\libs\citySelector\switchcity\switchcity.wxss                                | CSS        |        156 |          0 |         26 |        182 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\qqmap-wx-jssdk\index.js                                     | JavaScript |         12 |          2 |          0 |         14 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\_commons\0.js                              | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\_commons\slideview.5abc910a.wxs            | JavaScript |        223 |         21 |          0 |        244 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\actionsheet\actionsheet.js                 | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\actionsheet\actionsheet.json               | JSON       |          4 |          0 |          1 |          5 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\actionsheet\actionsheet.wxml               | wxml       |         12 |          0 |          1 |         13 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\actionsheet\actionsheet.wxss               | CSS        |          1 |          0 |          2 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\badge\badge.js                             | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\badge\badge.json                           | JSON       |          4 |          0 |          1 |          5 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\badge\badge.wxml                           | wxml       |          1 |          0 |          1 |          2 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\badge\badge.wxss                           | CSS        |          0 |          0 |          3 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\cell\cell.js                               | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\cell\cell.json                             | JSON       |          6 |          0 |          1 |          7 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\cell\cell.wxml                             | wxml       |          1 |          0 |          1 |          2 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\cell\cell.wxss                             | CSS        |          1 |          0 |          2 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\cells\cells.js                             | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\cells\cells.json                           | JSON       |          4 |          0 |          1 |          5 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\cells\cells.wxml                           | wxml       |          1 |          0 |          1 |          2 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\cells\cells.wxss                           | CSS        |          1 |          0 |          2 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\checkbox-group\checkbox-group.js           | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\checkbox-group\checkbox-group.json         | JSON       |          6 |          0 |          1 |          7 |
